City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
181,westport,41.1415,-73.3579,38.46,86,100,17.27,US,1706484034
182,launceston,-41.45,147.1667,67.33,94,100,16.11,AU,1706484050
183,kodiak,57.79,-152.4072,17.11,62,0,20.71,US,1706483975
184,askoy,60.4092,5.226,44.89,100,75,29.93,NO,1706484050
185,bathsheba,13.2167,-59.5167,79.41,83,40,13.8,BB,1706484050
186,bamako,12.65,-8.0,73.81,21,62,8.05,ML,1706484050
187,filadelfia,39.9523,-75.1638,41.05,94,100,13.8,US,1706483752
188,christchurch,-43.5333,172.6333,71.55,63,40,21.85,NZ,1706484014
189,mount gambier,-37.8333,140.7667,69.85,60,0,6.53,AU,1706484051
190,saint-louis,16.3333,-15.0,72.43,12,8,10.22,SN,1706484051
191,ulladulla,-35.35,150.4667,80.76,61,1,7.56,AU,1706484051
192,byron bay,-28.65,153.6167,77.29,94,100,9.26,AU,1706483882
193,bandarbeyla,9.4942,50.8122,77.56,85,89,9.91,SO,1706484051
194,tuburan,6.6439,122.2736,75.29,77,94,8.79,PH,1706484051
195,sarkand,45.41,79.9186,19.71,67,45,7.05,KZ,1706484051
196,sisimiut,66.9395,-53.6735,-5.85,98,100,8.25,GL,1706484051
197,barcelona,41.3888,2.159,57.18,79,75,3.44,ES,1706484033
198,pyhajarvi,67.0701,27.2176,32.49,96,100,16.84,FI,1706484052
199,chukhloma,58.7525,42.6825,10.09,98,100,7.0,RU,1706484052
200,badger,64.8,-147.5333,-16.29,66,75,0.0,US,1706484046
201,nar'yan-mar,67.6713,53.087,20.23,94,100,13.76,RU,1706484052
202,touros,-5.1989,-35.4608,81.41,77,100,13.29,BR,1706484052
203,montbrison,45.6667,4.0833,53.94,76,100,5.57,FR,1706484052
204,chai badan,15.2,101.1333,76.12,58,78,11.59,TH,1706484052
205,college,64.8569,-147.8028,-16.2,64,75,0.0,US,1706484052
206,kulhudhuffushi,6.6221,73.07,80.51,68,74,8.03,MV,1706484052
207,ierapetra,35.01,25.7353,52.14,60,13,11.01,GR,1706484052
208,enchanted hills,35.3368,-106.593,55.44,35,25,3.0,US,1706483877
209,son la,21.3167,103.9,48.79,97,56,2.39,VN,1706484053
210,saint-pierre,-21.3393,55.4781,76.68,94,100,5.75,RE,1706484053
211,preston,53.7667,-2.7167,52.48,94,97,6.96,GB,1706484053
212,pagar alam,-4.0167,103.2667,68.81,99,99,0.49,ID,1706484053
213,umluj,25.0213,37.2685,65.26,61,99,12.5,SA,1706484053
214,san patricio,28.017,-97.5169,69.75,40,0,7.11,US,1706484053
215,mingshui,36.7167,117.5,33.1,52,61,6.2,CN,1706484053
216,novyy urgal,51.0736,132.5642,2.52,98,100,0.27,RU,1706484053
217,barra do corda,-5.5,-45.25,75.31,96,98,3.0,BR,1706484053
218,lashio,22.9333,97.75,47.41,97,2,1.68,MM,1706484054
219,sao joao da barra,-21.6403,-41.0511,77.09,90,100,6.64,BR,1706483992
220,stephenville,32.2207,-98.2023,65.16,27,0,3.44,US,1706484054
